Treatment,Percent,Gene,Month
All beads,52,16S,May
Zymo,70,16S,May
All beads weighted,98,16S,May
Zymo weighted,99,16S,May
All beads,20,16S euk,May
Zymo,28,16S euk,May
All beads weighted,55,16S euk,May
Zymo weighted,56,16S euk,May
All beads,24,12S,May
Zymo,56,12S,May
All beads weighted,80,12S,May
Zymo weighted,90,12S,May
All beads,65,16S,August
Zymo,75,16S,August
All beads weighted,99,16S,August
Zymo weighted,99,16S,August
All beads,34,16S euk,August
Zymo,49,16S euk,August
All beads weighted,66,16S euk,August
Zymo weighted,68,16S euk,August
All beads,35,12S,August
Zymo,56,12S,August
All beads weighted,86,12S,August
Zymo weighted,92,12S,August
